Filename,Word Count,COCA_Academic_Range_AW,COCA_Academic_Frequency_AW,COCA_Academic_Range_Log_AW,COCA_Academic_Frequency_Log_AW,COCA_Academic_Range_CW,COCA_Academic_Frequency_CW,COCA_Academic_Range_Log_CW,COCA_Academic_Frequency_Log_CW,COCA_Academic_Range_FW,COCA_Academic_Frequency_FW,COCA_Academic_Range_Log_FW,COCA_Academic_Frequency_Log_FW
KOR_A2_0_2.txt,2128,0.615442352567,5776.38785619,-0.363068984357,2.94282575282,0.455403999168,1231.31708547,-0.532203018101,2.48849001311,0.905299051144,14008.284651,-0.0567384604761,3.76570511118
TWN_B2_0_1.txt,2237,0.593146697629,8089.12883631,-0.489410465014,2.83258370629,0.389647409125,1009.70642869,-0.763976696496,2.17092588277,0.915669407199,19309.1901637,-0.0542549144217,3.88123441962
TWN_B1_1_1.txt,2243,0.622536057561,6538.49353338,-0.352806766121,2.9685332718,0.458768286758,1092.95478308,-0.531056297309,2.46375610352,0.880154633726,15104.7207735,-0.072407330984,3.76258435238
KOR_B1_2_GPT.txt,359,0.510439789507,7354.48622353,-0.599203670253,2.67971419854,0.271739540105,629.55704374,-0.911857371229,1.96192125953,0.939354300151,19438.3433435,-0.0374040513108,3.96949838581
KOR_A2_0_1.txt,2032,0.563491105985,7173.19636174,-0.558210713055,2.74725987661,0.355137814018,1049.90811587,-0.85931667522,2.10372428478,0.91462035898,17492.5227681,-0.0507691911591,3.83178400149
TWN_B2_0_2.txt,2438,0.617224349363,6250.70330758,-0.364092126157,2.94455174,0.446734986096,1104.18569448,-0.547848498997,2.43419600659,0.896797222533,14690.0961726,-0.0627636671036,3.7814462887
TWN_B1_1_2.txt,2118,0.586787860331,8298.4094708,-0.485522660363,2.84742641588,0.38254370779,971.289363376,-0.758446793189,2.19318261399,0.901561233437,19590.6902175,-0.0649022958505,3.855722251
TWN_B1_2_GPT.txt,332,0.508993985886,6647.48452383,-0.56897432701,2.68886716386,0.294543787117,656.666055735,-0.833017007648,2.05367676122,0.939843930686,18683.5834461,-0.0384885777284,3.96502242735
IDN_B1_2_GPT.txt,399,0.507524040784,7209.27668055,-0.571858212023,2.70384657454,0.285042473309,723.238698415,-0.851357079226,2.04075660756,0.929751833071,19518.5458437,-0.0414224056526,3.96226548996
CHN_A2_0_2.txt,2280,0.612377880461,8623.77129046,-0.451695586943,2.90428507289,0.388553929612,1033.46993399,-0.743231170913,2.20470984202,0.925303722571,19235.689429,-0.0441028437478,3.88235362816
CHN_A2_0_1.txt,2243,0.632495260978,6259.75707391,-0.338613984945,2.9955547906,0.457820848554,1197.19828207,-0.514673362203,2.49575467168,0.921467948039,14635.0033231,-0.0473500807335,3.82239932585
JPN_B2_0_GPT.txt,315,0.535699367619,7018.66809918,-0.530228073237,2.75520961909,0.309207519362,575.729865702,-0.806714238716,2.06677346953,0.938574248146,18479.1157534,-0.0384252479157,3.97977303557
KOR_B1_1_GPT.txt,348,0.510692937893,7156.59790391,-0.592726085382,2.67871773553,0.255551582943,516.658428263,-0.923581485608,1.93197143441,0.947223849878,18517.1193505,-0.0266531740582,3.95635398509
TWN_B1_2_1.txt,2167,0.619921320723,6325.57064566,-0.359655175236,2.95158272943,0.454042317074,1082.67511359,-0.538451231262,2.45370137822,0.897070646125,15085.3589728,-0.060924141034,3.78343894742
CHN_B2_0_GPT.txt,301,0.501917839145,6277.29875029,-0.601620154415,2.63948609836,0.277893826391,590.005611888,-0.892051596904,1.97690183148,0.926040970087,17044.5042065,-0.0517742196059,3.89389320556
KOR_A2_0_GPT.txt,266,0.485679719959,5806.85643801,-0.617838620786,2.59010606564,0.282362972962,522.68177791,-0.881978093376,1.98010745688,0.923778900989,17192.9946937,-0.0486809477037,3.90450782974
TWN_B1_2_2.txt,2023,0.584249794596,7821.43899008,-0.513641222211,2.80725218732,0.369303883408,1011.19706867,-0.806205155594,2.13408693502,0.928329877234,18723.1053216,-0.0453121350512,3.88483842452
JPN_A2_0_2.txt,2041,0.585254749567,7392.64188411,-0.504853955718,2.81494830514,0.379844874871,1142.65268953,-0.78011270981,2.17774703208,0.932223545846,17949.8326268,-0.0398996845859,3.89127902695
