Filename,cw_percentage,fw_percentage,COCA_spoken_Range_AW,COCA_spoken_Frequency_AW,COCA_spoken_Range_Log_AW,COCA_spoken_Frequency_Log_AW,COCA_spoken_Range_CW,COCA_spoken_Frequency_CW,COCA_spoken_Range_Log_CW,COCA_spoken_Frequency_Log_CW,COCA_spoken_Range_FW,COCA_spoken_Frequency_FW,COCA_spoken_Range_Log_FW,COCA_spoken_Frequency_Log_FW
KOR_A2_0_2.txt,0.646616541353,0.353383458647,0.988323213452,0.988323213452,0.988323213452,0.988323213452,0.982001439885,0.982001439885,0.982001439885,0.982001439885,1.0,1.0,1.0,1.0,
TWN_B2_0_1.txt,0.615556548949,0.384443451051,0.989375830013,0.989375830013,0.989375830013,0.989375830013,0.982844889207,0.982844889207,0.982844889207,0.982844889207,1.0,1.0,1.0,1.0,
TWN_B1_1_1.txt,0.612572447615,0.387427552385,0.993380406002,0.993380406002,0.993380406002,0.993380406002,0.989262705798,0.989262705798,0.989262705798,0.989262705798,1.0,1.0,1.0,1.0,
KOR_B1_2_GPT.txt,0.643454038997,0.356545961003,0.994428969359,0.994428969359,0.994428969359,0.994428969359,0.991341991342,0.991341991342,0.991341991342,0.991341991342,1.0,1.0,1.0,1.0,
KOR_A2_0_1.txt,0.629429133858,0.370570866142,0.992156862745,0.992156862745,0.992156862745,0.992156862745,0.987567987568,0.987567987568,0.987567987568,0.987567987568,1.0,1.0,1.0,1.0,
TWN_B2_0_2.txt,0.623051681706,0.376948318294,0.989383421805,0.989383421805,0.989383421805,0.989383421805,0.983006535948,0.983006535948,0.983006535948,0.983006535948,1.0,1.0,1.0,1.0,
TWN_B1_1_2.txt,0.610009442871,0.389990557129,0.990623534927,0.990623534927,0.990623534927,0.990623534927,0.984697781178,0.984697781178,0.984697781178,0.984697781178,1.0,1.0,1.0,1.0,
TWN_B1_2_GPT.txt,0.668674698795,0.331325301205,0.993975903614,0.993975903614,0.993975903614,0.993975903614,0.990990990991,0.990990990991,0.990990990991,0.990990990991,1.0,1.0,1.0,1.0,
IDN_B1_2_GPT.txt,0.65664160401,0.34335839599,0.994987468672,0.994987468672,0.994987468672,0.994987468672,0.992366412214,0.992366412214,0.992366412214,0.992366412214,1.0,1.0,1.0,1.0,
CHN_A2_0_2.txt,0.586842105263,0.413157894737,0.990809628009,0.990809628009,0.990809628009,0.990809628009,0.984363365599,0.984363365599,0.984363365599,0.984363365599,1.0,1.0,1.0,1.0,
CHN_A2_0_1.txt,0.625947391886,0.374052608114,0.989342806394,0.989342806394,0.989342806394,0.989342806394,0.983014861996,0.983014861996,0.983014861996,0.983014861996,1.0,1.0,1.0,1.0,
JPN_B2_0_GPT.txt,0.64126984127,0.35873015873,0.990476190476,0.990476190476,0.990476190476,0.990476190476,0.985148514851,0.985148514851,0.985148514851,0.985148514851,1.0,1.0,1.0,1.0,
KOR_B1_1_GPT.txt,0.632183908046,0.367816091954,0.994252873563,0.994252873563,0.994252873563,0.994252873563,0.990909090909,0.990909090909,0.990909090909,0.990909090909,1.0,1.0,1.0,1.0,
TWN_B1_2_1.txt,0.627134287033,0.372865712967,0.995408631772,0.995408631772,0.995408631772,0.995408631772,0.992700729927,0.992700729927,0.992700729927,0.992700729927,1.0,1.0,1.0,1.0,
CHN_B2_0_GPT.txt,0.65780730897,0.34219269103,0.990033222591,0.990033222591,0.990033222591,0.990033222591,0.984848484848,0.984848484848,0.984848484848,0.984848484848,1.0,1.0,1.0,1.0,
KOR_A2_0_GPT.txt,0.684210526316,0.315789473684,0.996240601504,0.996240601504,0.996240601504,0.996240601504,0.994505494505,0.994505494505,0.994505494505,0.994505494505,1.0,1.0,1.0,1.0,
TWN_B1_2_2.txt,0.617399901137,0.382600098863,0.993123772102,0.993123772102,0.993123772102,0.993123772102,0.988906497623,0.988906497623,0.988906497623,0.988906497623,1.0,1.0,1.0,1.0,
JPN_A2_0_2.txt,0.6295933366,0.3704066634,0.986899563319,0.986899563319,0.986899563319,0.986899563319,0.979310344828,0.979310344828,0.979310344828,0.979310344828,1.0,1.0,1.0,1.0,
IDN_A2_0_1.txt,0.609733270941,0.390266729059,0.992059785147,0.992059785147,0.992059785147,0.992059785147,0.986993114002,0.986993114002,0.986993114002,0.986993114002,1.0,1.0,1.0,1.0,
TWN_A2_0_GPT.txt,0.658753709199,0.341246290801,0.994065281899,0.994065281899,0.994065281899,0.994065281899,0.990990990991,0.990990990991,0.990990990991,0.990990990991,1.0,1.0,1.0,1.0,
IDN_A2_0_GPT.txt,0.656565656566,0.343434343434,0.997474747475,0.997474747475,0.997474747475,0.997474747475,0.996153846154,0.996153846154,0.996153846154,0.996153846154,1.0,1.0,1.0,1.0,
TWN_B1_1_GPT.txt,0.647058823529,0.352941176471,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
JPN_A2_0_1.txt,0.619738072965,0.380261927035,0.990205223881,0.990205223881,0.990205223881,0.990205223881,0.984222389181,0.984222389181,0.984222389181,0.984222389181,1.0,1.0,1.0,1.0,
IDN_A2_0_2.txt,0.636697247706,0.363302752294,0.989922125515,0.989922125515,0.989922125515,0.989922125515,0.984184040259,0.984184040259,0.984184040259,0.984184040259,1.0,1.0,1.0,1.0,
IDN_B1_1_GPT.txt,0.670422535211,0.329577464789,0.994366197183,0.994366197183,0.994366197183,0.994366197183,0.991596638655,0.991596638655,0.991596638655,0.991596638655,1.0,1.0,1.0,1.0,
